Ticker,Preis,Tag %,Monat %,Dividende %
ABBN,70.52,0.6,9.63,1.34
ADEN,18.36,-2.5,-11.22,5.31
ALC,60.98,-0.36,-2.74,46.0
BAER,61.3,-0.29,-0.36,4.23
GEBN,547.0,-0.4,-3.6,2.35
GIVN,2773.0,-0.82,-0.22,2.58
HOLN,69.5,-0.69,8.8,4.43
KNIN,183.4,0.08,7.95,3.27
LONN,506.4,-0.43,1.54,98.0
LOGN,72.36,-3.05,1.54,1.69
NESN,78.74,-0.01,-1.64,3.94
NOVN,121.72,0.45,0.1,3.05
PGHN,861.2,-0.74,6.06,5.3
ROG,314.1,0.9,-2.61,3.03
SREN,133.05,0.34,3.99,4.77
SIKA,135.95,-0.26,0.92,2.71
SOON,179.2,-1.16,-5.68,2.43
STMN,83.5,-0.6,-0.19,1.19
TEMN,69.4,-4.34,-8.32,1.93
UBSG,32.36,-0.12,9.25,2.63
ZURN,568.0,-0.53,7.25,5.25
